,tweet_id,description,favorite_count,retweet_count,url,followers
0,892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,34369,7144,media,[86
1,892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boop\u2026 https://t.co/aQFSeaCu9L",,,https://t.co/aQFSeaCu9L,9096876
2,891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.\u2026 https://t.co/r0YlrsGCgy,,,https://t.co/r0YlrsGCgy,9096876
3,891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,37548,7347,media,[80
4,891327558926688256,This is Franklin. He would like you to stop calling him \cute.\,,,"https://t.co/0g0KMIVXZ3""",http://links.weratedogs.com
5,891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG:\u2026 https://t.co/xx5cilW0Dd,,,https://t.co/xx5cilW0Dd,9096876
6,890971913173991426,Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below\u2026 https://t.co/MV01Q820LT,,,https://t.co/MV01Q820LT,9096876
7,890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13\u2026 https://t.co/hrcFOGi12V,,,https://t.co/hrcFOGi12V,9096876
8,890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10\u2026 https://t.co/UkrdQyoYxV,,,https://t.co/UkrdQyoYxV,9096876
9,890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant\u2026 https://t.co/l3TSS3o2M0,,,https://t.co/l3TSS3o2M0,9096876
10,890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a pe\u2026 https://t.co/jy2alqaYPH,,,https://t.co/jy2alqaYPH,9096876
11,889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,24970,4238,media,[108
12,889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,42768,8504,media,[107
13,889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo\u2026 https://t.co/Ya3bdfYuCx,,,https://t.co/Ya3bdfYuCx,9096876
14,889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*cki\u2026 https://t.co/qw5xRwBaIv,,,https://t.co/qw5xRwBaIv,9096876
15,888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,26053,3824,media,[87
16,888804989199671297,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 wou\u2026 https://t.co/L5cCoR2huQ,,,https://t.co/L5cCoR2huQ,9096876
17,888078434458587136,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want th\u2026 https://t.co/UibDBnVpvR,,,https://t.co/UibDBnVpvR,9096876
